PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,"440,23",440.23,"1,00 un SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"655,39",655.39,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"655,39",655.39,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"655,39",655.39,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,"655,39",655.39,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,SMARTPHONE REALME C53 256GB 8GB RAM,"924,00",924.0,"1,00 un SMARTPHONE REALME C53 256GB 8GB RAM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI XIAOMI 12, 256GB CHINA,SN:","1.035,62",1035.62,"1,00 un SMARTPHONE XIAOMI XIAOMI 12, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB","1.035,62",1035.62,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 256GB"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 13C, 128GB CHINA,SN:","1.035,62",1035.62,"1,00 un SMARTPHONE XIAOMI REDMI 13C, 128GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI NOTE 12,128GB CHINA,SN NA PLANILHA","2.122,76",2122.76,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 12,128GB CHINA,SN NA PLANILHA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO,256GB CHINA,SN NA","1.061,38",1061.38,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO,256GB CHINA,SN NA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO F5 5G, 256GB CHINA,SN NA PLANILHA","1.061,38",1061.38,"1,00 un SMARTPHONE XIAOMI POCO F5 5G, 256GB CHINA,SN NA PLANILHA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 10 2022,128GB CHINA,SN NA PLANILHA","1.061,38",1061.38,"1,00 un SMARTPHONE XIAOMI REDMI 10 2022,128GB CHINA,SN NA PLANILHA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,12.0,"SMARTPHONE XIAOMI POCO M5 , 128GB CHINA,SN NA PLANILHA DO","12.736,56",12736.56,"12,00 un SMARTPHONE XIAOMI POCO M5 , 128GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,34.0,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN NA PLANILHA DO","36.086,92",36086.92,"34,00 un SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI 12, 128GB CHINA,SN NA PLANILHA DO","1.061,38",1061.38,"1,00 un SMARTPHONE XIAOMI REDMI 12, 128GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,103.0,"SMARTPHONE XIAOMI REDMI NOTE 12S, 256GB CHINA,SN NA","109.322,14",109322.14,"103,00 un SMARTPHONE XIAOMI REDMI NOTE 12S, 256GB CHINA,SN NA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,53.0,"SMARTPHONE XIAOMI REDMI 12C, 128GB CHINA,SN NA PLANILHA DO","56.253,14",56253.14,"53,00 un SMARTPHONE XIAOMI REDMI 12C, 128GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE XIAOMI REDMI 12,256GB CHINA,SN:","4.165,80",4165.8,"4,00 un SMARTPHONE XIAOMI REDMI 12,256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE OPPO A78, 256GB CHINA,SN: 77E213B4, 587F7965,","7.860,00",7860.0,"4,00 un SMARTPHONE OPPO A78, 256GB CHINA,SN: 77E213B4, 587F7965,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"SMARTPHONE OPPO N69, 256GB CHINA,SN:","5.895,00",5895.0,"3,00 un SMARTPHONE OPPO N69, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN:","2.074,92",2074.92,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4.0,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB,SN:49574/63VQ11930 R$ 4.149,84","4.149,84",4149.84,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB,SN:49574/63VQ11930 R$ 4.149,84"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI POCO F5, 256GB CHINA,SN:","1.037,46",1037.46,"1,00 un SMARTPHONE XIAOMI POCO F5, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA,SN:","1.037,46",1037.46,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3.0,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:50524/63X600072,","3.112,38",3112.38,"3,00 un SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:50524/63X600072,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3A30161910013113/// R$ 1.957,48","1.957,48",1957.48,"1,00 un SMARTPHONE REALME C55, 256GB CHINA,SN: 3A30161910013113/// R$ 1.957,48"
ADM 0800100_0734_2025 de 30_09_2025.PDF,83.0,"SMARTPHONE XIAOMI POCO M5 ,128GB CHINA, SN EM PLANILHA DO","85.416,13",85416.13,"83,00 un SMARTPHONE XIAOMI POCO M5 ,128GB CHINA, SN EM PLANILHA DO"
