Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG,"1.510,00",1510.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 4GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,"SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG R$ 1.399,00","1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG R$ 1.399,00"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG,"1.399,00",1399.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11 6GBRAM/128 GB 2201117TG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SG"
1.0,SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL,"1.679,99",1679.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 11S 6GBRAM/128 GB 2201117SL"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28150/2023 REDMI NOTE 9 IMEI:,"1.200,00",1200.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28150/2023 REDMI NOTE 9 IMEI:"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28150/2023 POCO M5 IMEI:,"1.000,00",1000.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28150/2023 POCO M5 IMEI:"
1.0,SMARTPHONE XIAOMI 4GB-64GB //28150/2023 POCO M3 IMEI:,"1.050,00",1050.0,"1,00 un SMARTPHONE XIAOMI 4GB-64GB //28150/2023 POCO M3 IMEI:"
1.0,SMARTPHONE XIAOMI 6GB-128GB //28142/2023 REDMI NOTE 11,"1.250,00",1250.0,"1,00 un SMARTPHONE XIAOMI 6GB-128GB //28142/2023 REDMI NOTE 11"
1.0,SMARTPHONE XIAOMI 6GB-128GB //28142/2023 REDMI NOTE 11,"1.250,00",1250.0,"1,00 un SMARTPHONE XIAOMI 6GB-128GB //28142/2023 REDMI NOTE 11"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11,"1.200,00",1200.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11,"1.200,00",1200.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11,"1.200,00",1200.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11"
1.0,SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11,"1.200,00",1200.0,"1,00 un SMARTPHONE XIAOMI 4GB-128GB //28138/2023 REDMI NOTE 11"
20.0,SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 64 GB ROM SPACE,"29.478,40",29478.4,"20,00 un SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 64 GB ROM SPACE"
20.0,SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 64 GB ROM NEPTUNE,"29.478,40",29478.4,"20,00 un SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 64 GB ROM NEPTUNE"
20.0,SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 128GB ROM SPACE,"39.980,00",39980.0,"20,00 un SMARTPHONE XIAOMI REDMI NOTE 8 4GB RAM 128GB ROM SPACE"
11.0,SMARTPHONE XIAOMI REDMI NOTE 9 S 6GB RAM 128GB ROM,"16.159,00",16159.0,"11,00 un SMARTPHONE XIAOMI REDMI NOTE 9 S 6GB RAM 128GB ROM"
180.0,SMARTPHONE XIAOMI REDMI NOTE 10 GRAFITE GRAY 5G 4GB RAM,"180.000,00",180000.0,"180,00 un SMARTPHONE XIAOMI REDMI NOTE 10 GRAFITE GRAY 5G 4GB RAM"
20.0,SMARTPHONE XIAOMI 11 LITE NE BUBBLEGUM BLUE 5G 8GB RAM,"30.000,00",30000.0,"20,00 un SMARTPHONE XIAOMI 11 LITE NE BUBBLEGUM BLUE 5G 8GB RAM"
5.0,"SMARTPHONE XIAOMI REDMI NOTE 10S 128 GB, 6 GB-RAM/// R$ 8.847,60","8.847,60",8847.6,"5,00 un SMARTPHONE XIAOMI REDMI NOTE 10S 128 GB, 6 GB-RAM/// R$ 8.847,60"
43.0,"SMARTPHONE XIAOMI POCO X3 PRO 256 GB, 8 GB-RAM/// R$ 81.781,70","81.781,70",81781.7,"43,00 un SMARTPHONE XIAOMI POCO X3 PRO 256 GB, 8 GB-RAM/// R$ 81.781,70"
16.0,"SMARTPHONE APPLE I-PHONE SE 128 GB/// R$ 44.625,12","44.625,12",44625.12,"16,00 un SMARTPHONE APPLE I-PHONE SE 128 GB/// R$ 44.625,12"
4.0,"SMARTPHONE XIAOMI REDMI NOTE 11 128 GB/// R$ 6.319,96","6.319,96",6319.96,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 11 128 GB/// R$ 6.319,96"
