Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
1.0,SMARTPHONE REALME C67 //CB:AK438548680BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK438548680BR-"
1.0,SMARTPHONE REALME C67 //CB:AK454082074BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK454082074BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC109035747BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC109035747BR-"
1.0,SMARTPHONE REALME C67 //CB:AC158593367BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AC158593367BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083443976BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083443976BR-"
1.0,SMARTPHONE XIAOMI POCO X6 5G //CB:AK451921931BR-,"1.954,15",1954.15,"1,00 un SMARTPHONE XIAOMI POCO X6 5G //CB:AK451921931BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK382153803BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK382153803BR-"
1.0,SMARTPHONE REALME C67 //CB:AK446869195BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK446869195BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083517798BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083517798BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK403509439BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK403509439BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426967049BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426967049BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083494730BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083494730BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403498104BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403498104BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK438548747BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK438548747BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC139450860BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC139450860BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426926870BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426926870BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083477970BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083477970BR-"
1.0,SMARTPHONE REALME C67 //CB:AC145983338BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AC145983338BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083507481BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083507481BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC153149531BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC153149531BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426982545BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426982545BR-"
1.0,SMARTPHONE REALME C67 //CB:AC139508936BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AC139508936BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK441677707BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK441677707BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083508853BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083508853BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC144573362BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC144573362BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC145983324BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC145983324BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK427010682BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK427010682BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083523348BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083523348BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083523881BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083523881BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083303112BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083303112BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC139508922BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC139508922BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC109069462BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC109069462BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK376280272BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK376280272BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK457233153BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK457233153BR-"
1.0,SMARTPHONE XIAOMI POCO X6 5G //CB:AK446869227BR-,"1.954,15",1954.15,"1,00 un SMARTPHONE XIAOMI POCO X6 5G //CB:AK446869227BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083464826BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083464826BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083453797BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083453797BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK270243194BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK270243194BR-"
1.0,SMARTPHONE REALME C67 //CB:AK444405760BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK444405760BR-"
1.0,SMARTPHONE REALME C67 //CB:AK444405800BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK444405800BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK270483946BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK270483946BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK270228890BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK270228890BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083483697BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083483697BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083483697BR-,"789,57",789.57,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083483697BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083492274BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083492274BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083474077BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083474077BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426994526BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426994526BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC144573376BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC144573376BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426915656BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426915656BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426946980BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426946980BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK270423704BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK270423704BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083304299BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083304299BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK270186449BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK270186449BR-"
1.0,SMARTPHONE REALME C67 //CB:AC083530318BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AC083530318BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403554000BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403554000BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083459485BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083459485BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK270452705BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK270452705BR-"
1.0,SMARTPHONE REALME C67 //CB:AK446869200BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK446869200BR-"
1.0,SMARTPHONE REALME C67 //CB:AK446869200BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK446869200BR-"
1.0,SMARTPHONE REALME C67 //CB:AK438476930BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK438476930BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426944096BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426944096BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376220282BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376220282BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426928592BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK426928592BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC144573393BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC144573393BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083474704BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083474704BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426997788BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426997788BR-"
1.0,SMARTPHONE REALME C67 //CB:AC139450900BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AC139450900BR-"
1.0,SMARTPHONE REALME C67 //CB:AK457233167BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK457233167BR-"
1.0,SMARTPHONE REALME C67 //CB:AK449260378BR-,"1.289,90",1289.9,"1,00 un SMARTPHONE REALME C67 //CB:AK449260378BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK426995345BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK426995345BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083443242BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083443242BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK353149333BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK353149333BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK382201248BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK382201248BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK446092327BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK446092327BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376296856BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376296856BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC083486821BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC083486821BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AK353148695BR-,"2.464,15",2464.15,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AK353148695BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK382201336BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK382201336BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083516660BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083516660BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449501357BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449501357BR-"
1.0,SMARTPHONE REALME 12 PRO+ 5G //CB:AC132917658BR-,"2.749,90",2749.9,"1,00 un SMARTPHONE REALME 12 PRO+ 5G //CB:AC132917658BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC083527870BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AC083527870BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK449365395BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK449365395BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC060272346BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC060272346BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC142019345BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC142019345BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC157889326BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC157889326BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK353148721BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK353148721BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403498444BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403498444BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK353450101BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK353450101BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK382202376BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK382202376BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC060272425BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC060272425BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083501722BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083501722BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC060471378BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC060471378BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149074182BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149074182BR-"
1.0,SMARTPHONE REALME C53 //CB:AC083470296BR-,"1.231,99",1231.99,"1,00 un SMARTPHONE REALME C53 //CB:AC083470296BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC060471449BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC060471449BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK449371158BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK449371158BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC157890474BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC157890474BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK453787302BR-,"1.274,99",1274.99,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK453787302BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083511804BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083511804BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149046399BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149046399BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149046399BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149046399BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449486495BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449486495BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083298749BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083298749BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449477114BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449477114BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449477114BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449477114BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK353149231BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK353149231BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK353149815BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK353149815BR-"
1.0,SMARTPHONE XIAOMI REDMI A3 //CB:AC083529345BR-,"799,00",799.0,"1,00 un SMARTPHONE XIAOMI REDMI A3 //CB:AC083529345BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149067941BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149067941BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC060471041BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC060471041BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149049191BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149049191BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK353149421BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK353149421BR-"
1.0,SMARTPHONE XIAOMI REDMI A3 //CB:AK403497316BR-,"806,65",806.65,"1,00 un SMARTPHONE XIAOMI REDMI A3 //CB:AK403497316BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK446093781BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK446093781BR-"
1.0,SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK403498002BR-,"2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK403498002BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083440453BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083440453BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083483723BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083483723BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AC109052630BR-,"2.299,00",2299.0,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AC109052630BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK403524630BR-,"1.274,99",1274.99,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK403524630BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083441839BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083441839BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK459613415BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK459613415BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083440728BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083440728BR-"
1.0,"SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK376264782BR-IMEI: R$ 2.990,00","2.990,00",2990.0,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G //CB:AK376264782BR-IMEI: R$ 2.990,00"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AK446086454BR-,"2.464,15",2464.15,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AK446086454BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403497894BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK403497894BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK451393293BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK451393293BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149075364BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149075364BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK430910479BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK430910479BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC152866972BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC152866972BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AC060271915BR-,"2.464,15",2464.15,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //CB:AC060271915BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376234865BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376234865BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376264411BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AK376264411BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC149010805BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC149010805BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083442777BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083442777BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC109036376BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC109036376BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK376264337BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK376264337BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK382172952BR-,"1.274,99",1274.99,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK382172952BR-"
1.0,SMARTPHONE XIAOMI POCO X6 5G //CB:AC142018787BR-,"1.954,15",1954.15,"1,00 un SMARTPHONE XIAOMI POCO X6 5G //CB:AC142018787BR-"
1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083528433BR-,"1.345,50",1345.5,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //CB:AC083528433BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK438357124BR-,"1.274,99",1274.99,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK438357124BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AC060272598BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AC060272598BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC149062666BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC149062666BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK432363577BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK432363577BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449473917BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449473917BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC083528393BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC083528393BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AC060272876BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AC060272876BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449230570BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449230570BR-"
1.0,SMARTPHONE XIAOMI REDMI 13C //CB:AK449507054BR-,"1.099,99",1099.99,"1,00 un SMARTPHONE XIAOMI REDMI 13C //CB:AK449507054BR-"
1.0,SMARTPHONE XIAOMI REDMI 12 //CB:AK460549878BR-,"1.299,97",1299.97,"1,00 un SMARTPHONE XIAOMI REDMI 12 //CB:AK460549878BR-"
